priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Critical,Bug,scott_carey,0,2,41.0,43,2,0 days 00:11:42.315000000
Major,Bug,skye,0,6,528.0,55,6,13 days 23:36:48.400000000
Minor,Improvement,bdechoux,0,7,279.0,40,5,77 days 21:50:06.270000000
Critical,Bug,kirwin,0,4,1025.0,45,3,1 days 05:16:18.660000000
Minor,New Feature,vince83,6,4,1260.0,45,4,13 days 03:21:04.719000000
Minor,New Feature,vince83,6,4,1409.0,43,4,17 days 22:31:41.713000000
Major,Improvement,bw123,0,4,463.0,49,3,17 days 02:03:29.325000000
Major,Bug,trochee,0,6,625.0,44,4,0 days 23:38:54.608000000
Major,Improvement,hernan.otero,0,4,449.0,69,3,1 days 03:55:19.035000000
Major,Bug,massie,0,8,170.0,59,3,2 days 23:49:23.706000000
Major,Bug,cutting,0,8,161.0,46,2,1 days 21:12:00.143000000
Major,New Feature,cutting,0,3,235.0,32,2,3 days 00:47:28.846000000
Minor,Improvement,scott_carey,0,5,119.0,49,2,15 days 01:20:55.177000000
Major,Bug,scott_carey,0,4,300.0,45,2,21 days 06:13:20.199000000
Major,Bug,szesch,0,4,835.0,51,3,0 days 23:44:18.858000000
Major,Bug,szesch,0,7,424.0,41,3,1 days 03:35:00.231000000
Minor,New Feature,vince83,0,7,1206.0,51,4,4 days 05:38:12.233000000
Minor,Improvement,minaguib,0,7,171.0,72,4,3 days 14:15:23.355000000
Major,Bug,kryzthov,0,4,799.0,115,3,4 days 13:20:31.194000000
Major,Bug,cutting,0,5,221.0,60,2,6 days 04:52:33.869000000
Major,New Feature,martinkl,0,5,158.0,41,3,10 days 00:00:30.190000000
Major,Bug,martinkl,0,4,382.0,56,3,8 days 22:16:21.021000000
Minor,Improvement,sujesh.chirackkal,0,0,189.0,40,1,0 days 00:19:42.417000000
Major,Bug,drussel,0,6,186.0,61,4,69 days 20:35:20.645000000
Minor,Improvement,romixlev,0,21,562.0,51,3,32 days 23:51:24.347000000
Major,Bug,ahanna,0,1,2105.0,45,2,0 days 02:07:38.846000000
Major,Bug,cutting,0,0,139.0,54,1,0 days 05:46:10.012000000
Major,Bug,martinkl,0,4,150.0,47,3,0 days 06:54:55.145000000
Major,Bug,martinkl,0,4,440.0,41,3,0 days 07:34:33.438000000
Minor,Improvement,trochee,0,6,709.0,75,3,0 days 02:35:53.245000000
Minor,Improvement,ted.m,0,7,312.0,37,3,5 days 02:02:53.715000000
Minor,Improvement,ted.m,0,3,478.0,42,3,0 days 06:50:45.326000000
Minor,New Feature,cutting,0,5,283.0,55,2,7 days 01:23:51.095000000
Minor,Bug,ted.m,0,12,433.0,49,4,2 days 20:32:41.035000000
Major,New Feature,njw45,0,4,333.0,51,3,1 days 07:00:36.389000000
