priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Critical,Short,scott_carey,0.0,1.0986122886681098,3.7376696182833684,43,1.0986122886681098,2.460037459108636
Major,Short,Other,0.0,1.9459101490553132,6.270988431858299,55,1.9459101490553132,9.910304596931818
Minor,Short,Other,0.0,2.0794415416798357,5.634789603169249,40,1.791759469228055,11.627950072994143
Critical,Short,Other,0.0,1.6094379124341003,6.933423025730715,45,1.3862943611198906,7.470970865574961
Minor,Long,Other,1.9459101490553132,1.6094379124341003,7.13966033596492,45,1.6094379124341003,9.848031852080164
Minor,Long,Other,1.9459101490553132,1.6094379124341003,7.251344983372214,43,1.6094379124341003,10.159357513695026
Major,Short,Other,0.0,1.6094379124341003,6.139884552226255,49,1.3862943611198906,10.110643530970767
Major,Short,Other,0.0,1.9459101490553132,6.439350371100098,44,1.6094379124341003,7.25764434417029
Major,Short,Other,0.0,1.6094379124341003,6.1092475827643655,69,1.3862943611198906,7.423757829309761
Major,Short,massie,0.0,2.1972245773362196,5.14166355650266,59,1.3862943611198906,8.368552825220245
Major,Short,cutting,0.0,2.1972245773362196,5.087596335232384,46,1.0986122886681098,7.905442527870126
Major,Long,cutting,0.0,1.3862943611198906,5.4638318050256105,32,1.0986122886681098,8.381941638258771
Minor,Short,scott_carey,0.0,1.791759469228055,4.787491742782046,49,1.0986122886681098,9.984187872396904
Major,Short,scott_carey,0.0,1.6094379124341003,5.707110264748875,45,1.0986122886681098,10.32919103122587
Major,Short,Other,0.0,1.6094379124341003,6.728628613084702,51,1.3862943611198906,7.261445783909799
Major,Short,Other,0.0,2.0794415416798357,6.052089168924417,41,1.3862943611198906,7.411558614092446
Minor,Long,Other,0.0,2.0794415416798357,7.095893221097532,51,1.6094379124341003,8.715749561448666
Minor,Short,Other,0.0,2.0794415416798357,5.147494476813453,72,1.6094379124341003,8.551669832696188
Major,Short,Other,0.0,1.6094379124341003,6.684611727667927,115,1.3862943611198906,8.788825131846558
Major,Short,cutting,0.0,1.791759469228055,5.402677381872279,60,1.0986122886681098,9.0974588088285
Major,Long,Other,0.0,1.791759469228055,5.0689042022202315,41,1.3862943611198906,9.57501842708326
Major,Short,Other,0.0,1.6094379124341003,5.948034989180646,56,1.3862943611198906,9.461593158912855
Minor,Short,Other,0.0,0.0,5.247024072160486,40,0.6931471805599453,2.980971365405693
Major,Short,Other,0.0,1.9459101490553132,5.231108616854587,61,1.6094379124341003,11.518861254098955
Minor,Short,Other,0.0,3.091042453358316,6.333279628139691,51,1.3862943611198906,10.768725082952505
Major,Short,Other,0.0,0.6931471805599453,7.652545692693921,45,1.0986122886681098,4.849272036421758
Major,Short,cutting,0.0,0.0,4.941642422609304,54,0.6931471805599453,5.84692093240427
Major,Short,Other,0.0,1.6094379124341003,5.017279836814924,47,1.3862943611198906,6.028083521299964
Major,Short,Other,0.0,1.6094379124341003,6.089044875446846,41,1.3862943611198906,6.119323978278311
Minor,Short,Other,0.0,1.9459101490553132,6.565264970035361,75,1.3862943611198906,5.049134058673179
Minor,Short,Other,0.0,2.0794415416798357,5.746203190540153,37,1.3862943611198906,8.89876105471187
Minor,Short,Other,0.0,1.3862943611198906,6.171700597410915,42,1.3862943611198906,6.0179979846651515
Minor,Long,cutting,0.0,1.791759469228055,5.648974238161206,55,1.0986122886681098,9.226592742142703
Minor,Short,Other,0.0,2.5649493574615367,6.073044534100405,49,1.6094379124341003,8.32183111545157
Major,Long,Other,0.0,1.6094379124341003,5.811140992976701,51,1.3862943611198906,7.528657779867425
Major,Short,Other,0.0,1.9459101490553132,6.659293919683638,53,1.3862943611198906,7.8997365662547505
Minor,Short,Other,0.0,1.791759469228055,5.583496308781699,65,1.3862943611198906,5.182311407205789
Major,Short,Other,0.0,1.791759469228055,7.001245622069476,37,1.3862943611198906,8.859714031630263
Minor,Short,Other,0.0,0.6931471805599453,7.394493107219038,78,0.6931471805599453,0.1162411067540381
Minor,Short,Other,0.0,3.091042453358316,6.646390514847729,39,1.6094379124341003,8.96966107891315
Major,Short,Other,0.6931471805599453,2.1972245773362196,6.021023349349527,52,1.791759469228055,7.335861748250716
Major,Short,Other,0.6931471805599453,1.9459101490553132,6.18826412308259,52,1.9459101490553132,8.389507498395288
Major,Short,Other,0.0,2.1972245773362196,7.194436851100335,93,1.3862943611198906,8.641866564452535
Minor,Short,Other,0.0,1.3862943611198906,6.4457198193855785,34,1.3862943611198906,8.43342039727858
Major,Short,Other,0.0,2.0794415416798357,5.840641657373398,35,1.6094379124341003,11.993773419004935
Minor,Short,Other,0.0,0.6931471805599453,5.147494476813453,59,1.0986122886681098,8.328144989386628
Minor,Short,Other,0.0,1.791759469228055,6.56244409369372,71,1.0986122886681098,9.206887790336255
Major,Short,Other,0.0,0.6931471805599453,5.857933154483459,55,1.3862943611198906,8.372633626666758
Blocker,Short,tomwhite,0.6931471805599453,2.3978952727983707,5.181783550292085,57,1.3862943611198906,8.876783037895727
Major,Short,Other,0.6931471805599453,2.70805020110221,5.459585514144159,36,1.6094379124341003,9.443242127437582
Major,Short,Other,0.0,2.0794415416798357,5.497168225293202,47,1.6094379124341003,10.526047920084002
Major,Short,scott_carey,0.0,1.3862943611198906,7.380879035564116,51,1.0986122886681098,9.982561023728627
Trivial,Short,Other,0.0,0.6931471805599453,5.953243334287785,30,1.0986122886681098,10.965068193586593
Trivial,Short,Other,0.0,1.6094379124341003,5.579729825986222,69,1.0986122886681098,10.647598459953045
Major,Short,Other,0.0,1.6094379124341003,7.465655310134056,46,1.3862943611198906,5.724080785181366
Major,Short,Other,0.0,2.3978952727983707,6.464588303689961,10,1.6094379124341003,11.317272504593136
Major,Short,Other,0.0,1.3862943611198906,5.556828061699537,67,1.0986122886681098,5.424960369850724
Major,Short,Other,0.0,3.5263605246161616,7.166265974133638,62,2.0794415416798357,11.570695415459443
Major,Short,Other,0.0,2.302585092994046,4.343805421853684,29,1.791759469228055,10.593995700159889
Trivial,Short,Other,0.0,1.0986122886681098,4.997212273764115,51,1.0986122886681098,9.289696454746013
Minor,Short,Other,0.0,2.302585092994046,6.368187186350492,52,1.0986122886681098,9.57140396054424
Minor,Short,Other,0.0,1.6094379124341003,3.8066624897703196,34,1.0986122886681098,8.444814659328813
Major,Short,Other,0.0,2.302585092994046,7.195187320178709,29,1.0986122886681098,9.788529623131454
Minor,Long,Other,0.0,1.9459101490553132,7.055312843339752,44,1.0986122886681098,9.259639977786755
Major,Short,Other,0.0,2.4849066497880004,5.652489180268651,44,1.791759469228055,9.24706021536763
Major,Short,Other,0.0,2.3978952727983707,5.1647859739235145,47,1.0986122886681098,9.779675786172431
Major,Short,tomwhite,0.0,1.3862943611198906,5.44673737166631,75,1.0986122886681098,6.6632546127817225
Major,Short,Other,0.0,2.1972245773362196,6.728628613084702,72,1.0986122886681098,9.168464129223164
Major,Short,Other,0.0,1.9459101490553132,5.634789603169249,70,1.3862943611198906,11.844894597701904
Major,Short,Other,0.0,1.791759469228055,7.8252452914317745,68,1.0986122886681098,7.113470637797385
Major,Long,Other,0.0,3.044522437723423,7.3777589082278725,39,1.6094379124341003,9.61423632627286
Major,Long,Other,0.0,2.302585092994046,7.463936604468925,24,1.0986122886681098,9.09226019217685
Minor,Short,Other,0.0,2.1972245773362196,6.813444599510896,70,1.0986122886681098,10.346389252750981
Major,Short,Other,0.0,1.791759469228055,5.655991810819852,80,1.791759469228055,12.725316735215408
Major,Short,Other,0.0,1.791759469228055,6.261491684321042,78,1.6094379124341003,12.169898365404007
Trivial,Short,Other,0.0,1.3862943611198906,4.574710978503383,27,1.3862943611198906,11.030784801401023
Major,Short,Other,0.0,1.3862943611198906,7.2875606403097235,44,1.0986122886681098,11.342813602763677
Major,Short,Other,0.0,2.70805020110221,5.8998973535824915,112,1.3862943611198906,11.399312936023431
Minor,Short,Other,0.0,1.3862943611198906,4.727387818712341,31,1.3862943611198906,11.433575870330015
Major,Short,Other,1.0986122886681098,2.0794415416798357,7.683403681053826,47,1.791759469228055,12.877764720137842
