priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Critical,Short,scott_carey,0.0,1.0986122886681098,3.7376696182833684,43,1.0986122886681098,2.3978952727983707
Major,Short,Other,0.0,1.9459101490553132,6.270988431858299,55,1.9459101490553132,9.910264536815152
Minor,Short,Other,0.0,2.0794415416798357,5.634789603169249,40,1.791759469228055,11.62794914153901
Critical,Short,Other,0.0,1.6094379124341003,6.933423025730715,45,1.3862943611198906,7.470793774195062
Minor,Long,Other,1.9459101490553132,1.6094379124341003,7.13966033596492,45,1.6094379124341003,9.84802769533176
Minor,Long,Other,1.9459101490553132,1.6094379124341003,7.251344983372214,43,1.6094379124341003,10.159330600013353
Major,Short,Other,0.0,1.6094379124341003,6.139884552226255,49,1.3862943611198906,10.110623665704521
Major,Short,Other,0.0,1.9459101490553132,6.439350371100098,44,1.6094379124341003,7.257002707092073
Major,Short,Other,0.0,1.6094379124341003,6.1092475827643655,69,1.3862943611198906,7.423568444259167
Major,Short,massie,0.0,2.1972245773362196,5.14166355650266,59,1.3862943611198906,8.368461137615839
Major,Short,cutting,0.0,2.1972245773362196,5.087596335232384,46,1.0986122886681098,7.905441649060286
Major,Long,cutting,0.0,1.3862943611198906,5.4638318050256105,32,1.0986122886681098,8.381831553485561
Minor,Short,scott_carey,0.0,1.791759469228055,4.787491742782046,49,1.0986122886681098,9.984145455553582
Major,Short,scott_carey,0.0,1.6094379124341003,5.707110264748875,45,1.0986122886681098,10.329180034324262
Major,Short,Other,0.0,1.6094379124341003,6.728628613084702,51,1.3862943611198906,7.261225091971921
Major,Short,Other,0.0,2.0794415416798357,6.052089168924417,41,1.3862943611198906,7.411556287811163
Minor,Long,Other,0.0,2.0794415416798357,7.095893221097532,51,1.6094379124341003,8.7157161275482
Minor,Short,Other,0.0,2.0794415416798357,5.147494476813453,72,1.6094379124341003,8.55159461813357
Major,Short,Other,0.0,1.6094379124341003,6.684611727667927,115,1.3862943611198906,8.788745881938135
Major,Short,cutting,0.0,1.791759469228055,5.402677381872279,60,1.0986122886681098,9.097395612960048
Major,Long,Other,0.0,1.791759469228055,5.0689042022202315,41,1.3862943611198906,9.574983485564092
Major,Short,Other,0.0,1.6094379124341003,5.948034989180646,56,1.3862943611198906,9.461565907417349
Minor,Short,Other,0.0,0.0,5.247024072160486,40,0.6931471805599453,2.9444389791664403
Major,Short,Other,0.0,1.9459101490553132,5.231108616854587,61,1.6094379124341003,11.518857833623336
Minor,Short,Other,0.0,3.091042453358316,6.333279628139691,51,1.3862943611198906,10.768716542159835
Major,Short,Other,0.0,0.6931471805599453,7.652545692693921,45,1.0986122886681098,4.844187086458591
Major,Short,cutting,0.0,0.0,4.941642422609304,54,0.6931471805599453,5.846438775057725
Major,Short,Other,0.0,1.6094379124341003,5.017279836814924,47,1.3862943611198906,6.025865973825314
Major,Short,Other,0.0,1.6094379124341003,6.089044875446846,41,1.3862943611198906,6.118097198041348
Minor,Short,Other,0.0,1.9459101490553132,6.565264970035361,75,1.3862943611198906,5.043425116919247
Minor,Short,Other,0.0,2.0794415416798357,5.746203190540153,37,1.3862943611198906,8.898638793680181
Minor,Short,Other,0.0,1.3862943611198906,6.171700597410915,42,1.3862943611198906,6.016157159698354
Minor,Long,cutting,0.0,1.791759469228055,5.648974238161206,55,1.0986122886681098,9.226508953137767
Minor,Short,Other,0.0,2.5649493574615367,6.073044534100405,49,1.6094379124341003,8.321664807135
Major,Long,Other,0.0,1.6094379124341003,5.811140992976701,51,1.3862943611198906,7.528331766707247
Major,Short,Other,0.0,1.9459101490553132,6.659293919683638,53,1.3862943611198906,7.899524472032198
Minor,Short,Other,0.0,1.791759469228055,5.583496308781699,65,1.3862943611198906,5.181783550292085
Major,Short,Other,0.0,1.791759469228055,7.001245622069476,37,1.3862943611198906,8.859647499714997
Minor,Short,Other,0.0,0.6931471805599453,7.394493107219038,78,0.6931471805599453,0.0
Minor,Short,Other,0.0,3.091042453358316,6.646390514847729,39,1.6094379124341003,8.969541885423252
Major,Short,Other,0.6931471805599453,2.1972245773362196,6.021023349349527,52,1.791759469228055,7.335633981927201
Major,Short,Other,0.6931471805599453,1.9459101490553132,6.18826412308259,52,1.9459101490553132,8.389359819906353
Major,Short,Other,0.0,2.1972245773362196,7.194436851100335,93,1.3862943611198906,8.641709066113805
Minor,Short,Other,0.0,1.3862943611198906,6.4457198193855785,34,1.3862943611198906,8.433376705323127
Major,Short,Other,0.0,2.0794415416798357,5.840641657373398,35,1.6094379124341003,11.993770117393838
Minor,Short,Other,0.0,0.6931471805599453,5.147494476813453,59,1.0986122886681098,8.327967858305488
Minor,Short,Other,0.0,1.791759469228055,6.56244409369372,71,1.0986122886681098,9.206834232646894
Major,Short,Other,0.0,0.6931471805599453,5.857933154483459,55,1.3862943611198906,8.372629740224884
Blocker,Short,tomwhite,0.6931471805599453,2.3978952727983707,5.181783550292085,57,1.3862943611198906,8.876684166614451
Major,Short,Other,0.6931471805599453,2.70805020110221,5.459585514144159,36,1.6094379124341003,9.443196602144186
Major,Short,Other,0.0,2.0794415416798357,5.497168225293202,47,1.6094379124341003,10.526024482928522
Major,Short,scott_carey,0.0,1.3862943611198906,7.380879035564116,51,1.0986122886681098,9.982529759876082
Trivial,Short,Other,0.0,0.6931471805599453,5.953243334287785,30,1.0986122886681098,10.965055424864856
Trivial,Short,Other,0.0,1.6094379124341003,5.579729825986222,69,1.0986122886681098,10.647589220094883
Major,Short,Other,0.0,1.6094379124341003,7.465655310134056,46,1.3862943611198906,5.723585101952381
Major,Short,Other,0.0,2.3978952727983707,6.464588303689961,10,1.6094379124341003,11.317263316879199
Major,Short,Other,0.0,1.3862943611198906,5.556828061699537,67,1.0986122886681098,5.424950017481403
Major,Short,Other,0.0,3.5263605246161616,7.166265974133638,62,2.0794415416798357,11.570694248052522
Major,Short,Other,0.0,2.302585092994046,4.343805421853684,29,1.791759469228055,10.59398121563051
Trivial,Short,Other,0.0,1.0986122886681098,4.997212273764115,51,1.0986122886681098,9.28961355287069
Minor,Short,Other,0.0,2.302585092994046,6.368187186350492,52,1.0986122886681098,9.571365838652174
Minor,Short,Other,0.0,1.6094379124341003,3.8066624897703196,34,1.0986122886681098,8.444622498581403
Major,Short,Other,0.0,2.302585092994046,7.195187320178709,29,1.0986122886681098,9.788525534066446
Minor,Long,Other,0.0,1.9459101490553132,7.055312843339752,44,1.0986122886681098,9.2596066132791
Major,Short,Other,0.0,2.4849066497880004,5.652489180268651,44,1.791759469228055,9.247057954911346
Major,Short,Other,0.0,2.3978952727983707,5.1647859739235145,47,1.0986122886681098,9.779623565313742
Major,Short,tomwhite,0.0,1.3862943611198906,5.44673737166631,75,1.0986122886681098,6.663132695990803
Major,Short,Other,0.0,2.1972245773362196,6.728628613084702,72,1.0986122886681098,9.16837188715368
Major,Short,Other,0.0,1.9459101490553132,5.634789603169249,70,1.3862943611198906,11.844887546113556
Major,Short,Other,0.0,1.791759469228055,7.8252452914317745,68,1.0986122886681098,7.113142108707088
Major,Long,Other,0.0,3.044522437723423,7.3777589082278725,39,1.6094379124341003,9.614204198717374
