status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status
Open,Major,2013-07-02T02:33:35.279+0000,Bug,keyer,2013-07-01T11:38:36.150+0000,,0,AVRO,,2,AVRO-1350,3042.0,46,1,,231.248588416
Open,Minor,2013-05-30T22:07:02.491+0000,Improvement,davidtaylor,2013-05-30T22:02:52.515+0000,,0,AVRO,,1,AVRO-1342,312.0,44,1,,262.81506567900004
Open,Minor,2013-05-25T05:35:30.283+0000,Improvement,jdonofrio,2013-05-25T05:35:30.283+0000,,0,AVRO,,0,AVRO-1340,559.0,97,1,,268.500739662
Open,Major,2013-08-22T04:19:27.214+0000,New Feature,talevy,2013-06-05T02:31:38.017+0000,,1,AVRO,,4,AVRO-1345,2127.0,14,4,,257.628427927
Open,Trivial,2013-07-23T21:40:30.362+0000,Bug,dbrosius,2013-05-20T03:44:05.112+0000,,0,AVRO,,1,AVRO-1333,111.0,28,2,,273.57811433
Open,Major,2013-05-23T13:02:04.495+0000,Bug,mumrah,2013-05-23T13:02:04.495+0000,,0,AVRO,,0,AVRO-1339,2050.0,39,1,,270.190621475
Open,Major,2013-05-23T05:14:21.641+0000,New Feature,kryzthov,2013-05-23T05:10:28.724+0000,,1,AVRO,,0,AVRO-1338,621.0,111,1,,270.518118826
Open,Major,2013-05-22T03:04:48.725+0000,Improvement,keyer,2013-05-21T03:14:52.105+0000,,1,AVRO,,4,AVRO-1335,1745.0,39,3,,272.598403769
Open,Minor,2013-05-10T19:28:20.068+0000,Improvement,felixgv,2013-05-10T19:28:20.068+0000,,1,AVRO,,0,AVRO-1329,518.0,28,1,,282.922385682
Patch Available,Minor,2013-05-08T20:13:58.664+0000,Bug,trochee,2013-05-06T23:05:23.582+0000,,0,AVRO,trochee,1,AVRO-1323,429.0,45,1,,286.768880988
Open,Trivial,2013-05-06T21:01:00.364+0000,Bug,bewang.tech,2013-05-06T21:01:00.364+0000,,0,AVRO,,0,AVRO-1321,90.0,62,1,,286.85803041099996
Open,Major,2013-05-02T13:02:06.242+0000,New Feature,fjcyue,2013-05-02T13:02:06.242+0000,,1,AVRO,,0,AVRO-1317,284.0,44,1,,291.190601269
Open,Minor,2013-04-30T06:34:30.881+0000,Bug,romixlev,2013-04-30T06:34:30.881+0000,,0,AVRO,,0,AVRO-1312,1533.0,91,1,,293.459760541
Open,Minor,2013-05-14T17:22:58.102+0000,Bug,nir.zamir,2013-04-28T08:59:08.815+0000,,0,AVRO,,10,AVRO-1310,323.0,46,4,,295.359321492
Open,Major,2013-04-20T00:30:17.426+0000,Bug,laserson,2013-04-20T00:30:17.426+0000,,1,AVRO,,0,AVRO-1305,177.0,59,2,,303.71269405099997
Patch Available,Major,2013-04-23T20:18:54.367+0000,Bug,laserson,2013-04-20T00:26:33.984+0000,,1,AVRO,,6,AVRO-1304,384.0,44,3,,299.89068306900003
Open,Major,2013-04-19T20:08:22.635+0000,Bug,trochee,2013-04-19T20:08:22.635+0000,,0,AVRO,,0,AVRO-1303,417.0,66,1,,303.89457820900003
Open,Minor,2013-04-18T17:01:56.040+0000,Bug,cconner,2013-04-18T17:01:56.040+0000,,0,AVRO,,0,AVRO-1302,742.0,83,1,,305.02405268900003
Open,Minor,2013-04-18T15:41:14.692+0000,Bug,chrisporter,2013-04-18T15:40:14.124+0000,,0,AVRO,,1,AVRO-1301,211.0,45,1,,305.08078783
Open,Major,2013-10-31T01:34:42.752+0000,New Feature,scott_carey,2013-04-30T19:55:54.444+0000,,3,AVRO,scott_carey,11,AVRO-1315,127.0,33,12,,292.90323783900004
Open,Minor,2013-04-10T18:49:42.338+0000,New Feature,bkent,2013-04-10T14:42:55.245+0000,,0,AVRO,,1,AVRO-1294,67.0,36,2,,313.120589697
Open,Major,2013-04-09T16:23:52.202+0000,Bug,trochee,2013-04-09T16:23:52.202+0000,,0,AVRO,,0,AVRO-1291,608.0,47,1,,314.05048603
Open,Minor,2013-04-04T18:14:02.182+0000,Improvement,trochee,2013-04-04T18:14:02.182+0000,,0,AVRO,trochee,0,AVRO-1289,1118.0,81,1,,318.973981635
Open,Minor,2013-05-06T05:32:28.191+0000,Bug,laserson,2013-04-03T00:46:11.530+0000,,0,AVRO,,3,AVRO-1286,131.0,56,3,,320.70165121900004
Open,Minor,2013-05-07T21:30:04.936+0000,New Feature,viji_r,2013-04-01T10:49:14.852+0000,,0,AVRO,,4,AVRO-1285,211.0,55,4,,322.282862772
Open,Major,2013-04-30T00:02:32.549+0000,Improvement,cutting,2013-03-22T23:13:05.138+0000,,0,AVRO,,0,AVRO-1283,729.0,67,1,,331.766308537
Open,Major,2013-05-02T02:30:58.379+0000,Bug,cwsteinbach,2013-03-21T19:27:18.848+0000,,0,AVRO,cwsteinbach,1,AVRO-1281,,53,1,,332.923094302
Open,Major,2013-03-21T19:22:29.872+0000,Bug,cwsteinbach,2013-03-21T19:17:18.691+0000,,0,AVRO,cwsteinbach,1,AVRO-1280,,55,1,,332.930040565
Open,Major,2013-03-20T19:54:59.298+0000,Improvement,matthewcmead,2013-03-20T19:54:59.298+0000,,0,AVRO,matthewcmead,0,AVRO-1276,668.0,76,1,,333.903876136
Open,Major,2013-05-06T20:52:20.412+0000,Bug,tomwhite,2013-03-18T14:20:42.322+0000,,0,AVRO,,2,AVRO-1275,277.0,84,2,,336.136017063
Open,Minor,2013-03-12T01:15:21.419+0000,Improvement,sqs,2013-03-12T01:12:40.324+0000,,0,AVRO,,1,AVRO-1273,2671.0,67,1,,342.68326241200003
Open,Minor,2013-05-07T09:21:23.274+0000,Bug,claws,2013-03-02T02:02:30.622+0000,,1,AVRO,,1,AVRO-1270,1034.0,75,2,,352.648652484
Open,Major,2013-02-28T17:40:42.569+0000,Improvement,tino,2013-02-28T11:01:14.969+0000,,0,AVRO,,1,AVRO-1263,360.0,88,2,,354.27452810000005
Open,Minor,2013-02-18T22:07:34.069+0000,Improvement,tmenninger,2013-02-18T22:07:34.069+0000,,0,AVRO,,0,AVRO-1256,1526.0,79,1,,363.81180704
Open,Major,2013-02-08T23:27:28.765+0000,New Feature,saden1,2013-02-08T23:27:28.765+0000,,0,AVRO,,0,AVRO-1246,256.0,32,1,,373.756312889
Open,Minor,2013-05-16T06:52:37.622+0000,Improvement,saden1,2013-02-08T22:28:17.098+0000,,0,AVRO,,5,AVRO-1245,1857.0,47,3,,373.79742014699997
