status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month,duration
Resolved,Critical,2013-06-20 16:41:00.043000+00:00,Bug,scott_carey,2013-06-20 16:29:17.709000+00:00,2013-06-20 16:41:00.024000+00:00,0,AVRO,,2,AVRO-1349,41.0,43,2,Fixed,242.038589634,1349,0,0,0,0,3,6,0 days 00:11:42.315000
Resolved,Major,2013-06-20 17:38:07.697000+00:00,Bug,skye,2013-06-06 17:41:12.389000+00:00,2013-06-20 17:18:00.789000+00:00,0,AVRO,skye,6,AVRO-1346,528.0,55,6,Fixed,242.012886302,1346,1,0,1,0,3,6,13 days 23:36:48.400000
Closed,Minor,2013-08-20 17:46:04.208000+00:00,Improvement,bdechoux,2013-05-21 21:33:17.274000+00:00,2013-08-07 19:23:23.544000+00:00,0,AVRO,bdechoux,7,AVRO-1337,279.0,40,5,Fixed,180.993402558,1337,0,0,1,0,1,5,77 days 21:50:06.270000
Closed,Critical,2013-08-20 17:46:04.078000+00:00,Bug,kirwin,2013-05-08 15:48:38.228000+00:00,2013-05-09 21:04:56.888000+00:00,0,AVRO,cutting,4,AVRO-1326,1025.0,45,3,Fixed,180.993404066,1326,1,1,1,0,2,5,1 days 05:16:18.660000
Resolved,Minor,2013-05-28 14:01:43.456000+00:00,New Feature,vince83,2013-05-15 10:38:51.771000+00:00,2013-05-28 13:59:56.490000+00:00,6,AVRO,vince83,4,AVRO-1330,1260.0,45,4,Duplicate,265.150435958,1330,1,1,0,0,2,5,13 days 03:21:04.719000
Resolved,Minor,2013-05-28 14:01:43.577000+00:00,New Feature,vince83,2013-05-10 15:25:10.092000+00:00,2013-05-28 13:56:51.805000+00:00,6,AVRO,vince83,4,AVRO-1328,1409.0,43,4,Duplicate,265.152573485,1328,1,1,0,1,4,5,17 days 22:31:41.713000
Resolved,Major,2013-05-24 16:10:58.877000+00:00,Improvement,bw123,2013-05-07 11:46:13.067000+00:00,2013-05-24 13:49:42.392000+00:00,0,AVRO,,4,AVRO-1324,463.0,49,3,Fixed,269.157543799,1324,1,0,3,0,1,5,17 days 02:03:29.325000
Closed,Major,2013-08-20 17:46:05.767000+00:00,Bug,trochee,2013-05-15 17:55:21.455000+00:00,2013-05-16 17:34:16.063000+00:00,0,AVRO,cutting,6,AVRO-1331,625.0,44,4,Fixed,180.993384544,1331,1,1,0,0,2,5,0 days 23:38:54.608000
Closed,Major,2013-08-20 17:46:03.945000+00:00,Improvement,hernan.otero,2013-05-08 17:05:36.288000+00:00,2013-05-09 21:00:55.323000+00:00,0,AVRO,cutting,4,AVRO-1327,449.0,69,3,Fixed,180.993405634,1327,1,1,1,0,2,5,1 days 03:55:19.035000
Closed,Major,2013-08-20 17:46:07.583000+00:00,Bug,massie,2013-05-06 21:26:02.931000+00:00,2013-05-09 21:15:26.637000+00:00,0,AVRO,massie,8,AVRO-1322,170.0,59,3,Fixed,180.993363529,1322,1,0,1,0,0,5,2 days 23:49:23.706000
